Tiempo,Carga (q),Corriente (i)
0.0,1.0,0.0
0.01001001001001001,0.9997338487226622,-0.05317468099548557
0.02002002002002002,0.9989355362652869,-0.1063210714623997
0.03003003003003003,0.9976054875593373,-0.15941086751402636
0.04004004004004004,0.9957444106004991,-0.21241580864886866
0.050050050050050046,0.9933532960162568,-0.26530767923637066
0.06006006006006006,0.9904334166485709,-0.31805832581885307
0.07007007007007007,0.9869863267390852,-0.3706396693119576
0.08008008008008008,0.9830138612055445,-0.42302372027625357
0.09009009009009009,0.9785181345782343,-0.47518259460141654
0.10010010010010009,0.9735015399773619,-0.5270885278814715
0.11011011011011011,0.9679667477176397,-0.5787138904226736
0.12012012012012012,0.9619167040238794,-0.6300312019160172
0.13013013013013014,0.9553546293059146,-0.681013145980482
0.14014014014014015,0.9482840165672931,-0.7316325847803214
0.15015015015015015,0.9407086285409821,-0.7818625728063129
0.16016016016016016,0.932632497282576,-0.8316763722261541
0.17017017017017017,0.9240599228069272,-0.8810474676287646
0.18018018018018017,0.9149954705335178,-0.9299495799934019
0.19019019019019018,0.9054439626917624,-0.9783566765767595
0.20020020020020018,0.8954104827635562,-1.0262429895766312
0.21021021021021022,0.8849003732300161,-1.073583030288014
0.22022022022022023,0.8739192313093282,-1.1203516016471176
0.23023023023023023,0.8624728987157326,-1.1665238053501708
0.24024024024024024,0.8505674678055767,-1.212075063315236
0.2502502502502503,0.8382092776406622,-1.2569811303189966
0.2602602602602603,0.825404908805349,-1.301218105114776
0.2702702702702703,0.8121611734007333,-1.3447624359862904
0.2802802802802803,0.798485120932595,-1.3875909440006406
0.2902902902902903,0.7843840330543571,-1.4296808338502867
0.3003003003003003,0.7698654175982275,-1.4710097032671663
0.3103103103103103,0.7549369992556021,-1.5115555476577027
0.3203203203203203,0.7396067246175102,-1.5512967846183197
0.3303303303303303,0.7238827559583535,-1.5902122628668074
0.34034034034034033,0.7077734644087794,-1.6282812694527866
0.35035035035035034,0.6912874216437406,-1.665483534384349
0.36036036036036034,0.6744334036238386,-1.7017992555385626
0.37037037037037035,0.657220383756934,-1.737209105767876
0.38038038038038036,0.6396575251758566,-1.7716942373178755
0.39039039039039036,0.6217541737251768,-1.8052362876384482
0.40040040040040037,0.6035198599605267,-1.837817403441446
0.41041041041041043,0.5849642920282108,-1.8694202462948977
0.42042042042042044,0.5660973470538893,-1.9000279935731907
0.43043043043043044,0.5469290656215045,-1.929624346890256
0.44044044044044045,0.5274696516870274,-1.9581935537139457
0.45045045045045046,0.507729465062423,-1.9857204107564421
0.46046046046046046,0.48771901401397444,-2.012190266648385
0.47047047047047047,0.46744894740776377,-2.037589023295168
0.4804804804804805,0.4469300559240948,-2.0619031636249257
0.4904904904904905,0.42617326363109886,-2.0851197512178836
0.5005005005005005,0.40518961839739015,-2.107226423760819
0.5105105105105106,0.3839902886844001,-2.1282114092600177
0.5205205205205206,0.3625865594201394,-2.148063539046661
0.5305305305305306,0.3409898247475622,-2.1667722497230684
0.5405405405405406,0.3192115817990858,-2.1843275882201016
0.5505505505505506,0.29726342347233675,-2.2007202079785073
0.5605605605605606,0.27515703285284376,-2.2159413822731255
0.5705705705705706,0.25290417650662433,-2.2299830073694618
0.5805805805805806,0.23051669754530768,-2.242837604389536
0.5905905905905906,0.208006510635798,-2.254498326011677
0.6006006006006006,0.1853856016426784,-2.2649589724962214
0.6106106106106106,0.16266601218368035,-2.274213976394181
0.6206206206206206,0.13985983554588377,-2.282258410448435
0.6306306306306306,0.11697921043294178,-2.2890879908022517
0.6406406406406406,0.09403631586025428,-2.2946990811801506
0.6506506506506506,0.07104336591403636,-2.2990886966086577
0.6606606606606606,0.04801259977186174,-2.3022545004552386
0.6706706706706707,0.02495627644897219,-2.3041948075795755
0.6806806806806807,0.0018866681587565853,-2.304908585316078
0.6906906906906907,-0.021183944804380517,-2.3043954536050024
0.7007007007007007,-0.04424328119949592,-2.3026556853892437
0.7107107107107107,-0.06727906651115809,-2.2996902068264498
0.7207207207207207,-0.09027903897806419,-2.295500596652695
0.7307307307307307,-0.11323095615836454,-2.290089085345678
0.7407407407407407,-0.1361226001078374,-2.2834585532856453
0.7507507507507507,-0.15894178520663846,-2.2756125298050836
0.7607607607607607,-0.18167636486021355,-2.266555191358589
0.7707707707707707,-0.2043142378105063,-2.256291359157843
0.7807807807807807,-0.2268433544137278,-2.244826496622396
0.7907907907907907,-0.24925172144348634,-2.2321667066365274
0.8008008008008007,-0.2715274107270973,-2.218318728061951
0.8108108108108109,-0.2936585649972561,-2.203289932192393
0.8208208208208209,-0.3156334042355588,-2.187088318810401
0.8308308308308309,-0.3374402314342286,-2.1697225120483568
0.8408408408408409,-0.3590674379222608,-2.151201756007376
0.8508508508508509,-0.38050351145231204,-2.131535909361979
0.8608608608608609,-0.40173704168330837,-2.1107354402451657
0.8708708708708709,-0.4227567262772667,-2.088811420636436
0.8808808808808809,-0.4435513769054328,-2.065775520463941
0.8908908908908909,-0.4641099243128919,-2.0416400020940983
0.9009009009009009,-0.4844214250350247,-2.0164177130798056
0.9109109109109109,-0.5044750671745595,-1.9901220792866408
0.9209209209209209,-0.5242601759064427,-1.9627670978464504
0.9309309309309309,-0.5437662190442664,-1.9343673296610038
0.9409409409409409,-0.5629828134234578,-1.9049378919792832
0.950950950950951,-0.5818997307375311,-1.8744944504828387
0.960960960960961,-0.6005069014724873,-1.8430532103173096
0.970970970970971,-0.6187944208692975,-1.8106309077189102
0.980980980980981,-0.6367525541242467,-1.7772448010735828
0.990990990990991,-0.6543717416567495,-1.742912661763052
