Tiempo,Carga (q),Corriente (i)
0.0,0.0,0.0
0.01001001001001001,7.351218761623575e-05,0.014378924563407808
0.02002002002002002,0.00028200201529824954,0.026999370146637097
0.03003003003003003,0.0006087513814820028,0.038034363169213756
0.04004004004004004,0.001038678701334669,0.047638674640869245
0.050050050050050046,0.0015581685371084289,0.05595077119608798
0.06006006006006006,0.002154917511340418,0.06309458031246577
0.07007007007007007,0.002817796649492205,0.06918106922288506
0.08008008008008008,0.003536728827908845,0.0743096523316817
0.09009009009009009,0.004302579520943426,0.07856944758535198
0.10010010010010009,0.0051070594210244295,0.08204039792006959
0.11011011011011011,0.0059426378230480765,0.08479427031813462
0.12012012012012012,0.006802465331590985,0.08689554876659411
0.13013013013013014,0.007680304774373103,0.08840223373411149
0.14014014014014015,0.008570470388299768,0.08936654741574328
0.15015015015015015,0.009467772571713134,0.08983557532330784
0.16016016016016016,0.010367469847339708,0.08985182563609374
0.17017017017017017,0.011265225611906397,0.08945373370084664
0.18018018018018017,0.012157069270115206,0.08867611621442628
0.19019019019019018,0.013039362451537048,0.08755056719838719
0.20020020020020018,0.013908768468274586,0.086105816568187
0.21021021021021022,0.01476222506824112,0.08436805066874337
0.22022022022022023,0.015596920922284345,0.0823611898331787
0.23023023023023023,0.016410273494651535,0.08010714948736586
0.24024024024024024,0.017199910512974613,0.07762605978681136
0.2502502502502503,0.017963653309056502,0.0749364632886415
0.2602602602602603,0.018699501627423377,0.07205549521726959
0.2702702702702703,0.019405620343430765,0.06899904132331733
0.2802802802802803,0.020080327707066532,0.06578187766931815
0.2902902902902903,0.020722084744268406,0.062417796495033526
0.3003003003003003,0.021329486180902097,0.05891971403343729
0.3103103103103103,0.02190125205727798,0.055299769679291275
0.3203203203203203,0.02243622035898145,0.05156941282754922
0.3303303303303303,0.02293334056093874,0.04773947853695753
0.34034034034034033,0.0233916678138112,0.043820255085696744
0.35035035035035034,0.023810357800247053,0.039821543109193024
0.36036036036036034,0.024188662010381064,0.03575270913775232
0.37037037037037035,0.024525923773350715,0.03162272976459269
0.38038038038038036,0.024821574474282893,0.027440232841222927
0.39039039039039036,0.02507513024152416,0.02321353254713075
0.40040040040040037,0.025286189101565364,0.018950658301794862
0.41041041041041043,0.025454428004656138,0.014659384340709352
0.42042042042042044,0.02557960064297187,0.010347249464667004
0.43043043043043044,0.02566153497506565,0.006021579338491751
0.44044044044044045,0.02570013138893572,0.001689500699455301
0.45045045045045046,0.02569536059353237,-0.0026420420965894585
0.46046046046046046,0.025647262029032728,-0.006966277268545823
0.47047047047047047,0.025555942028655375,-0.011276593683197375
0.4804804804804805,0.025421572384535553,-0.015566534368918538
0.4904904904904905,0.02524438872023523,-0.019829788481937137
0.5005005005005005,0.02502468921339122,-0.02406018813899532
0.5105105105105106,0.02476283301667415,-0.028251702354740494
0.5205205205205206,0.024459238992529147,-0.0323984354422119
0.5305305305305306,0.024114384351907325,-0.036494624891363805
0.5405405405405406,0.023728803313583353,-0.04053464021409806
0.5505505505505506,0.023303085830347386,-0.044512983242522064
0.5605605605605606,0.022837876189233997,-0.048424287497911084
0.5705705705705706,0.022333871779797305,-0.05226332034653621
0.5805805805805806,0.021791821647739067,-0.05602498296937587
0.5905905905905906,0.0212125252320855,-0.05970431341769911
0.6006006006006006,0.02059683092588669,-0.06329648777004179
0.6106106106106106,0.01994563473006146,-0.0667968233090491
0.6206206206206206,0.019259878785548315,-0.07020078057912225
0.6306306306306306,0.018540549954704312,-0.07350396642853563
0.6406406406406406,0.017788678308806996,-0.07670213667264242
0.6506506506506506,0.017005335652889014,-0.07979119959684197
0.6606606606606606,0.016191634039774885,-0.08276721985590477
0.6706706706706707,0.015348723998179421,-0.08562641934401018
0.6806806806806807,0.014477793129800142,-0.08836518166292304
0.6906906906906907,0.013580064562699116,-0.09098005570741761
0.7007007007007007,0.012656794840260402,-0.0934677577541889
0.7107107107107107,0.011709272685643606,-0.09582517513038848
0.7207207207207207,0.010738817266433737,-0.09804936915853601
0.7307307307307307,0.009746775934636435,-0.10013757736736255
0.7407407407407407,0.008734523049129557,-0.10208721721431327
0.7507507507507507,0.007703457996176544,-0.10389588820341028
0.7607607607607607,0.006655002934475456,-0.1055613727724402
0.7707707707707707,0.005590601558159384,-0.10708164108106993
0.7807807807807807,0.0045117169341592,-0.10845485175986906
0.7907907907907907,0.00341982938581672,-0.10967935268215397
0.8008008008008007,0.002316435053594725,-0.11075368556503311
0.8108108108108109,0.0012030436284471997,-0.11167658500779265
0.8208208208208209,8.117638339332368e-05,-0.11244697972195924
0.8308308308308309,-0.0010476354664028706,-0.11306399662133211
0.8408408408408409,-0.0021818530385914617,-0.1135269581858431
0.8508508508508509,-0.003319931751569188,-0.11383538339914408
0.8608608608608609,-0.004460323068444297,-0.11398899161422303
0.8708708708708709,-0.005601476680303025,-0.11398769877212388
0.8808808808808809,-0.006741842470404842,-0.11383161820027925
0.8908908908908909,-0.007879872395629227,-0.11352106351284051
0.9009009009009009,-0.009014022539643028,-0.1130565437464259
0.9109109109109109,-0.010142755085909125,-0.11243876401111357
0.9209209209209209,-0.011264540276042238,-0.11166862748654527
0.9309309309309309,-0.012377858307284068,-0.11074722947573325
0.9409409409409409,-0.013481201324404193,-0.10967585789447958
0.950950950950951,-0.01457307541624204,-0.1084559942472006
0.960960960960961,-0.015652002312360858,-0.1070893068736268
0.970970970970971,-0.016716521405326625,-0.10557765120531627
0.980980980980981,-0.017765191748459638,-0.10392306963759336
0.990990990990991,-0.01879659357194703,-0.1021277843279635
1.001001001001001,-0.019809330268949734,-0.1001941963738904
1.011011011011011,-0.02080203027289751,-0.09812488407773351
1.021021021021021,-0.02177334848411638,-0.09592259717521893
1.031031031031031,-0.022721968371770245,-0.0935902560892324
1.0410410410410411,-0.023646603414872482,-0.09113094627377505
1.0510510510510511,-0.024545998648629296,-0.088547913357644
1.0610610610610611,-0.025418932664047617,-0.08584456198781762
1.0710710710710711,-0.02626421863024132,-0.08302444821940055
1.0810810810810811,-0.027080706180406415,-0.08009127692857322
1.0910910910910911,-0.02786728290995882,-0.0770488973664122
1.1011011011011012,-0.028622875272866975,-0.07390129602876025
1.1111111111111112,-0.02934645065133424,-0.07065259446293162
1.1211211211211212,-0.030037018184144598,-0.0673070419613348
1.1311311311311312,-0.030693630041268335,-0.06386901008969065
1.1411411411411412,-0.031315383116414894,-0.06034298899326095
1.1511511511511512,-0.03190141947819255,-0.05673357927003648
1.1611611611611612,-0.03245092785324401,-0.053045487266731764
1.1711711711711712,-0.03296314456110429,-0.049283519149009566
1.1811811811811812,-0.033437354575929557,-0.04545257495917039
1.1911911911911912,-0.03387289237249424,-0.04155764195645159
1.2012012012012012,-0.03426914264681731,-0.03760378780661139
1.2112112112112112,-0.034625541367424156,-0.03359615492010683
1.2212212212212212,-0.034941576122839435,-0.029539953161024906
1.2312312312312312,-0.03521678719753584,-0.02544045387492564
1.2412412412412412,-0.03545076767637613,-0.02130298257001533
1.2512512512512513,-0.03564316441463869,-0.017132912669332655
1.2612612612612613,-0.03579367808128841,-0.012935658060360358
1.2712712712712713,-0.03590206385794547,-0.008716666545465837
1.2812812812812813,-0.03596813151373854,-0.004481412743877989
1.2912912912912913,-0.03599174573891789,-0.00023539111954695192
1.3013013013013013,-0.03597282635346402,0.00401589098003368
1.3113113113113113,-0.03591134820712564,0.008266920505881035
1.3213213213213213,-0.03580734153251803,0.012512185896803302
1.3313313313313313,-0.035660891452545786,0.01674618272814069
1.3413413413413413,-0.03547213838805637,0.020963423863606164
1.3513513513513513,-0.03524127736625359,0.025158443383157467
1.3613613613613613,-0.03496855804145825,0.02932580513985273
1.3713713713713713,-0.03465428435715598,0.03346010796049331
1.3813813813813813,-0.034298814026664466,0.03755599574523167
1.3913913913913913,-0.03390255826395387,0.04160816055801201
1.4014014014014013,-0.03346598103696236,0.04561135295324977
1.4114114114114114,-0.032989598523472795,0.04956038688364012
1.4214214214214214,-0.03247397860320562,0.05345014516788834
1.4314314314314314,-0.03191973980293062,0.05727558918848631
1.4414414414414414,-0.03132755086730395,0.06103176163418917
1.4514514514514514,-0.030698129689076974,0.0647137955598304
1.4614614614614614,-0.03003224218607584,0.06831692087726755
1.4714714714714714,-0.029330701957311908,0.07183646664558699
